row ID,#splits (level 0),#splits (level 1),#splits (level 2),#candidates (level 0),#candidates (level 1),#candidates (level 2),Score,,Score
cat66,0,0,0,4,15,29,0,1.39047619,0.00%
cat67,0,0,0,12,24,21,0,1.39047619,0.00%
cat71,0,0,0,5,14,27,0,1.39047619,0.00%
cat76,0,0,0,9,15,24,0,1.39047619,0.00%
cat78,0,0,0,10,13,22,0,1.39047619,0.00%
cat81,0,0,0,5,16,21,0,1.39047619,0.00%
cat83,0,0,0,15,14,25,0,1.39047619,0.00%
cat85,0,0,0,6,18,25,0,1.39047619,0.00%
cat86,0,0,0,10,18,29,0,1.39047619,0.00%
cat93,0,0,0,10,25,27,0,1.39047619,0.00%
cat95,0,0,0,8,15,22,0,1.39047619,0.00%
cat98,0,0,0,11,18,30,0,1.39047619,0.00%
cat108,0,0,0,6,13,24,0,1.39047619,0.00%
cont1,0,0,0,3,13,33,0,1.39047619,0.00%
cont2,0,0,0,12,20,29,0,1.39047619,0.00%
cont3,0,0,0,11,15,26,0,1.39047619,0.00%
cont4,0,0,0,14,25,24,0,1.39047619,0.00%
cont5,0,0,0,8,19,21,0,1.39047619,0.00%
cont6,0,0,0,6,19,18,0,1.39047619,0.00%
cont7,0,0,0,10,20,17,0,1.39047619,0.00%
cont9,0,0,0,9,16,27,0,1.39047619,0.00%
cont10,0,0,0,12,21,25,0,1.39047619,0.00%
cont11,0,0,0,8,13,27,0,1.39047619,0.00%
cont12,0,0,0,13,24,29,0,1.39047619,0.00%
cont13,0,0,0,9,23,25,0,1.39047619,0.00%
cont14,0,0,0,15,20,25,0,1.39047619,0.00%
